Date,Temperature High,Temperature Low,Rain
Thu 1/1/2015,38,33,0.44
Fri 1/2/2015,42,38,0.43
Sat 1/3/2015,59,40,0.37
Sun 1/4/2015,52,30,0
Mon 1/5/2015,62,27,0
Tue 1/6/2015,60,29,0
Wed 1/7/2015,43,24,0
Thu 1/8/2015,39,18,0
Fri 1/9/2015,40,30,0
Sat 1/10/2015,39,33,0.11
Sun 1/11/2015,44,35,0.49
Mon 1/12/2015,46,37,0
Tue 1/13/2015,41,33,0
Wed 1/14/2015,43,38,0
Thu 1/15/2015,57,29,0
Fri 1/16/2015,65,33,0
Sat 1/17/2015,71,41,0
Sun 1/18/2015,71,29,0
Mon 1/19/2015,71,37,0
Tue 1/20/2015,69,36,0
Wed 1/21/2015,63,41,0.22
Thu 1/22/2015,49,40,0.97
Fri 1/23/2015,53,35,0
Sat 1/24/2015,61,32,0
Sun 1/25/2015,67,35,0
Mon 1/26/2015,75,33,0
Tue 1/27/2015,79,39,0
Wed 1/28/2015,81,43,0
Thu 1/29/2015,70,46,0
Fri 1/30/2015,58,44,0
Sat 1/31/2015,55,47,0.40
Sun 2/1/2015,60,36,0.27
Mon 2/2/2015,44,25,0
Tue 2/3/2015,53,31,0
Wed 2/4/2015,57,40,0
Thu 2/5/2015,40,31,0
Fri 2/6/2015,59,35,0
Sat 2/7/2015,70,42,0
Sun 2/8/2015,71,50,0
Mon 2/9/2015,77,43,0
Tue 2/10/2015,77,40,0
Wed 2/11/2015,70,44,0
Thu 2/12/2015,57,35,0
Fri 2/13/2015,68,31,0
Sat 2/14/2015,80,36,0
Sun 2/15/2015,76,46,0
Mon 2/16/2015,63,31,0.18
Tue 2/17/2015,55,29,0
Wed 2/18/2015,59,28,0
Thu 2/19/2015,63,35,0
Fri 2/20/2015,72,50,0
Sat 2/21/2015,68,50,0
Sun 2/22/2015,51,31,0.47
Mon 2/23/2015,31,27,0.23
Tue 2/24/2015,38,27,0
Wed 2/25/2015,54,34,0.85
Thu 2/26/2015,40,31,0
Fri 2/27/2015,33,26,0.09
Sat 2/28/2015,33,28,0.10
Sun 3/1/2015,38,33,0.06
Mon 3/2/2015,41,35,0.03
Tue 3/3/2015,53,41,0.06
Wed 3/4/2015,53,30,1.01
Thu 3/5/2015,41,25,0.02
Fri 3/6/2015,54,22,0
Sat 3/7/2015,62,26,0
Sun 3/8/2015,51,46,0.23
Mon 3/9/2015,51,48,0.69
Tue 3/10/2015,60,50,0
Wed 3/11/2015,68,45,0
Thu 3/12/2015,70,46,0
Fri 3/13/2015,64,56,0.07
Sat 3/14/2015,68,56,0
Sun 3/15/2015,69,54,0
Mon 3/16/2015,79,47,0
Tue 3/17/2015,82,63,0
Wed 3/18/2015,68,55,0.04
Thu 3/19/2015,78,59,0
Fri 3/20/2015,65,55,0.42
Sat 3/21/2015,63,54,0.06
Sun 3/22/2015,68,51,0.09
Mon 3/23/2015,77,47,0
Tue 3/24/2015,83,60,0
Wed 3/25/2015,82,62,0
Thu 3/26/2015,73,45,0.28
Fri 3/27/2015,72,41,0
Sat 3/28/2015,85,46,0
Sun 3/29/2015,84,54,0
Mon 3/30/2015,78,60,0
Tue 3/31/2015,84,65,0
Wed 4/1/2015,81,66,0.04
Thu 4/2/2015,85,69,0
Fri 4/3/2015,74,60,0
Sat 4/4/2015,71,51,0
Sun 4/5/2015,61,53,0.72
Mon 4/6/2015,84,59,0.03
Tue 4/7/2015,84,70,0
Wed 4/8/2015,77,68,0.01
Thu 4/9/2015,85,68,0
Fri 4/10/2015,71,52,0
Sat 4/11/2015,77,50,0
Sun 4/12/2015,80,66,0.06
Mon 4/13/2015,73,60,0.55
Tue 4/14/2015,62,56,0.01
Wed 4/15/2015,76,57,0
Thu 4/16/2015,80,58,0
Fri 4/17/2015,75,62,0.88
Sat 4/18/2015,82,58,0.21
Sun 4/19/2015,78,54,0
Mon 4/20/2015,72,46,0
Tue 4/21/2015,76,49,0
Wed 4/22/2015,79,58,0
Thu 4/23/2015,77,66,0
Fri 4/24/2015,76,60,1.10
Sat 4/25/2015,87,54,0
Sun 4/26/2015,85,58,0.12
Mon 4/27/2015,74,58,0.66
Tue 4/28/2015,59,50,0.01
Wed 4/29/2015,77,49,0
Thu 4/30/2015,79,49,0
Fri 5/1/2015,82,51,0
Sat 5/2/2015,82,54,0
Sun 5/3/2015,82,59,0
Mon 5/4/2015,84,66,0
Tue 5/5/2015,83,63,0.06
Wed 5/6/2015,84,70,0.37
Thu 5/7/2015,84,67,1.14
Fri 5/8/2015,86,72,0
Sat 5/9/2015,86,72,0.01
Sun 5/10/2015,84,66,1.93
Mon 5/11/2015,74,63,0
Tue 5/12/2015,73,60,0.13
Wed 5/13/2015,72,64,0.41
Thu 5/14/2015,85,66,0
Fri 5/15/2015,79,69,0.01
Sat 5/16/2015,88,71,0
Sun 5/17/2015,81,67,3.86
Mon 5/18/2015,90,66,0
Tue 5/19/2015,81,73,0.13
Wed 5/20/2015,88,66,0
Thu 5/21/2015,66,58,1.18
Fri 5/22/2015,73,61,0.03
Sat 5/23/2015,85,70,0.79
Sun 5/24/2015,79,67,3.48
Mon 5/25/2015,80,63,0.47
Tue 5/26/2015,85,62,0.67
Wed 5/27/2015,87,63,0.11
Thu 5/28/2015,89,67,2.06
Fri 5/29/2015,81,67,1.67
Sat 5/30/2015,80,67,0.32
Sun 5/31/2015,82,61,0
Mon 6/1/2015,87,59,0
Tue 6/2/2015,89,66,0
Wed 6/3/2015,91,68,0
Thu 6/4/2015,91,71,0
Fri 6/5/2015,93,69,0
Sat 6/6/2015,94,70,0
Sun 6/7/2015,94,70,0
Mon 6/8/2015,97,72,0
Tue 6/9/2015,96,72,0
Wed 6/10/2015,98,71,0
Thu 6/11/2015,95,75,0
Fri 6/12/2015,95,77,0
Sat 6/13/2015,90,78,0.09
Sun 6/14/2015,92,75,0
Mon 6/15/2015,92,75,0
Tue 6/16/2015,86,77,0.02
Wed 6/17/2015,81,75,1.86
Thu 6/18/2015,94,75,0
Fri 6/19/2015,94,73,0
Sat 6/20/2015,86,76,0
Sun 6/21/2015,90,75,0.09
Mon 6/22/2015,93,73,0
Tue 6/23/2015,93,73,0
Wed 6/24/2015,95,75,0
Thu 6/25/2015,95,75,0
Fri 6/26/2015,95,76,0
Sat 6/27/2015,91,71,0
Sun 6/28/2015,92,68,0
Mon 6/29/2015,96,73,0
Tue 6/30/2015,95,72,0
Wed 7/1/2015,94,74,0
Thu 7/2/2015,92,73,0
Fri 7/3/2015,93,79,0
Sat 7/4/2015,94,77,0
Sun 7/5/2015,84,79,0
Mon 7/6/2015,93,78,0
Tue 7/7/2015,91,79,0
Wed 7/8/2015,88,78,0.05
Thu 7/9/2015,93,77,0
Fri 7/10/2015,94,72,0
Sat 7/11/2015,95,74,0
Sun 7/12/2015,97,75,0
Mon 7/13/2015,99,77,0
Tue 7/14/2015,100,78,0
Wed 7/15/2015,97,75,0
Thu 7/16/2015,98,75,0
Fri 7/17/2015,98,77,0
Sat 7/18/2015,100,79,0
Sun 7/19/2015,99,76,0
Mon 7/20/2015,101,77,0
Tue 7/21/2015,99,77,0
Wed 7/22/2015,99,79,0
Thu 7/23/2015,100,79,0
Fri 7/24/2015,100,78,0
Sat 7/25/2015,101,79,0
Sun 7/26/2015,101,75,0
Mon 7/27/2015,101,75,0
Tue 7/28/2015,100,80,0
Wed 7/29/2015,102,78,0
Thu 7/30/2015,104,74,0
Fri 7/31/2015,99,82,0
Sat 8/1/2015,99,73,0
Sun 8/2/2015,100,77,0
Mon 8/3/2015,101,73,0
Tue 8/4/2015,100,78,0
Wed 8/5/2015,102,82,0
Thu 8/6/2015,103,83,0
Fri 8/7/2015,104,81,0
Sat 8/8/2015,104,81,0
Sun 8/9/2015,106,80,0
Mon 8/10/2015,108,77,0
Tue 8/11/2015,105,77,0
Wed 8/12/2015,101,81,0
Thu 8/13/2015,99,78,0
Fri 8/14/2015,98,79,0
Sat 8/15/2015,97,75,0
Sun 8/16/2015,99,70,0
Mon 8/17/2015,98,75,0
Tue 8/18/2015,99,80,0
Wed 8/19/2015,96,71,0.03
Thu 8/20/2015,75,68,0.05
Fri 8/21/2015,94,72,0
Sat 8/22/2015,98,77,0
Sun 8/23/2015,100,79,0
Mon 8/24/2015,101,80,0
Tue 8/25/2015,94,78,0.05
Wed 8/26/2015,97,73,0
Thu 8/27/2015,98,71,0
Fri 8/28/2015,98,70,0
Sat 8/29/2015,97,77,0
Sun 8/30/2015,97,73,0
Mon 8/31/2015,96,73,0
Tue 9/1/2015,96,74,0
Wed 9/2/2015,95,72,0
Thu 9/3/2015,95,74,0
Fri 9/4/2015,96,77,0
Sat 9/5/2015,97,78,0
Sun 9/6/2015,100,80,0
Mon 9/7/2015,101,78,0
Tue 9/8/2015,99,80,0
Wed 9/9/2015,87,74,0.96
Thu 9/10/2015,94,73,0
Fri 9/11/2015,95,73,0
Sat 9/12/2015,87,62,0
Sun 9/13/2015,93,61,0
Mon 9/14/2015,92,68,0
Tue 9/15/2015,90,65,0
Wed 9/16/2015,95,76,0
Thu 9/17/2015,95,75,0
Fri 9/18/2015,97,76,0
Sat 9/19/2015,92,76,0.01
Sun 9/20/2015,92,73,0
Mon 9/21/2015,95,71,0
Tue 9/22/2015,96,69,0
Wed 9/23/2015,95,70,0
Thu 9/24/2015,94,64,0
Fri 9/25/2015,94,68,0
Sat 9/26/2015,92,64,0
Sun 9/27/2015,92,67,0
Mon 9/28/2015,92,66,0
Tue 9/29/2015,92,67,0
Wed 9/30/2015,93,67,0
Thu 10/1/2015,84,69,0.01
Fri 10/2/2015,82,59,0
Sat 10/3/2015,81,53,0
Sun 10/4/2015,81,60,0
Mon 10/5/2015,83,63,0
Tue 10/6/2015,85,57,0
Wed 10/7/2015,90,61,0
Thu 10/8/2015,92,64,0
Fri 10/9/2015,92,66,0
Sat 10/10/2015,85,59,0
Sun 10/11/2015,96,62,0
Mon 10/12/2015,96,75,0
Tue 10/13/2015,92,53,0
Wed 10/14/2015,98,53,0
Thu 10/15/2015,97,57,0
Fri 10/16/2015,86,60,0
Sat 10/17/2015,81,63,0
Sun 10/18/2015,82,55,0
Mon 10/19/2015,85,58,0
Tue 10/20/2015,85,55,0
Wed 10/21/2015,85,70,0
Thu 10/22/2015,81,68,2.64
Fri 10/23/2015,77,70,4.67
Sat 10/24/2015,70,61,1.57
Sun 10/25/2015,66,59,0.05
Mon 10/26/2015,78,57,0
Tue 10/27/2015,80,56,0
Wed 10/28/2015,77,53,0
Thu 10/29/2015,79,49,0
Fri 10/30/2015,71,64,3.74
Sat 10/31/2015,69,61,0.46
